"","stdrYm","cntrbtrSeccd","cntrCo","cntrbtrCo"
"358","201601","01","18","1"
"359","201601","01","1","1"
"360","201601","01","1","1"
"361","201601","01","21","1"
"362","201601","01","12","1"
"363","201601","01","6","1"
"364","201601","01","23","1"
"365","201601","01","3","1"
"366","201601","03","50","6"
"367","201601","03","18","1"
"368","201601","01","2","1"
"369","201601","01","4","1"
"370","201601","01","10","1"
"371","201601","01","6","1"
"372","201601","01","10","1"
"373","201601","01","1","1"
"374","201601","01","12","1"
"375","201601","01","19","1"
"376","201601","01","29","1"
"377","201601","01","12","1"
"378","201601","01","20","1"
"379","201601","01","16","1"
"380","201601","01","13","1"
"381","201601","03","6","1"
"382","201601","02","8","1"
"383","201601","02","19","1"
"384","201601","02","15","1"
"385","201601","02","7","1"
"386","201601","02","10","1"
"387","201601","02","17","1"
"388","201601","02","4","1"
"389","201601","02","16","1"
"390","201601","02","1","1"
"391","201601","01","1","1"
"392","201601","01","1","1"
"393","201601","01","1","1"
"394","201601","01","7","1"
"395","201601","01","11","1"
"396","201601","01","15","1"
"397","201601","01","4","1"
"398","201601","01","1","1"
"399","201601","01","15","1"
"400","201601","01","5","1"
"401","201601","01","18","1"
"402","201601","01","5","1"
"403","201601","01","2","1"
"404","201601","01","20","1"
"405","201601","01","18","1"
"406","201601","01","1","1"
"407","201601","01","20","1"
"408","201601","01","2","1"
"409","201601","01","2","1"
"410","201601","01","8","1"
"411","201601","01","9","1"
"412","201601","01","9","1"
"413","201601","01","4","1"
"414","201601","01","1","1"
"415","201601","01","1","1"
"416","201601","02","2","1"
"417","201601","02","21","1"
"418","201601","02","5","1"
"419","201601","02","16","1"
"420","201601","01","2","1"
"421","201601","01","7","1"
"422","201601","01","1","1"
"423","201601","01","7","1"
"424","201601","01","1","1"
"425","201601","01","18","1"
"426","201601","01","22","1"
"427","201601","01","1","1"
"428","201601","01","21","1"
"429","201601","01","21","1"
"430","201601","01","19","1"
"431","201601","01","2","1"
"432","201601","01","10","1"
"433","201601","01","15","1"
"434","201601","01","15","1"
"435","201601","01","17","1"
"436","201601","01","8","1"
"437","201601","01","15","1"
"438","201601","01","1","1"
"439","201601","01","3","1"
"440","201601","01","19","1"
"441","201601","01","1","1"
"442","201601","01","21","1"
"443","201601","01","3","1"
"444","201601","01","3","1"
"445","201601","01","7","1"
"446","201601","01","7","1"
"447","201601","01","7","1"
"448","201601","01","4","1"
"449","201601","01","1","1"
"450","201601","01","8","1"
"451","201601","01","16","1"
"452","201601","01","12","1"
"453","201601","01","16","1"
"454","201601","01","18","1"
"455","201601","01","8","1"
"456","201601","01","21","1"
"457","201601","01","3","1"
"458","201601","01","18","1"
"459","201601","02","6","1"
"460","201601","01","1","1"
"461","201601","01","29","1"
"462","201601","01","13","1"
"463","201601","01","6","1"
"464","201601","01","2","1"
"465","201601","01","12","1"
"466","201601","01","10","1"
"467","201601","01","4","1"
"468","201601","01","19","1"
"469","201601","01","8","1"
"470","201601","01","2","1"
"471","201601","01","11","1"
"472","201601","01","4","1"
"473","201601","01","1","1"
"474","201601","01","13","1"
"475","201601","01","9","1"
"476","201601","01","10","1"
"477","201601","01","4","1"
"478","201601","01","18","1"
"479","201601","01","3","1"
"480","201601","01","1","1"
"481","201601","01","20","1"
"482","201601","01","2","1"
"483","201601","01","2","1"
"484","201601","02","16","1"
"485","201601","02","16","1"
"486","201601","02","21","1"
"487","201601","02","17","1"
"488","201601","02","8","1"
"489","201601","02","18","1"
"490","201601","02","8","1"
"491","201601","02","17","1"
"492","201601","02","2","1"
"493","201601","02","15","1"
"494","201601","02","12","1"
"495","201601","02","7","1"
"496","201601","02","1","1"
"497","201601","02","14","1"
"498","201601","02","2","1"
"499","201601","02","7","1"
"500","201601","02","1","1"
"501","201601","02","16","1"
"502","201601","01","3","1"
"503","201601","01","12","1"
"504","201601","01","12","1"
"505","201601","01","16","1"
"506","201601","01","14","1"
"507","201601","01","3","1"
"508","201601","01","17","1"
"509","201601","01","14","1"
"510","201601","01","2","1"
"511","201601","01","1","1"
"512","201601","01","10","1"
"513","201601","01","8","1"
"514","201601","01","18","1"
"515","201601","01","4","1"
"516","201601","01","14","1"
"517","201601","03","1","1"
"518","201601","03","3","1"
"519","201601","03","2","1"
"520","201601","02","1","1"
"521","201601","02","2","1"
"522","201601","02","2","1"
"523","201601","02","1","1"
"524","201601","02","25","1"
"525","201601","02","30","1"
"526","201601","02","19","1"
"527","201601","02","15","1"
"528","201601","02","13","1"
"529","201601","02","21","1"
"530","201601","02","25","1"
"531","201601","02","15","1"
"532","201601","02","4","1"
"533","201601","02","15","1"
"534","201601","02","21","1"
"535","201601","02","22","1"
"536","201601","02","5","1"
"537","201601","02","25","1"
"538","201601","02","11","1"
"539","201601","02","3","1"
"540","201601","02","27","1"
"541","201601","02","1","1"
"542","201601","02","3","1"
"543","201601","02","1","1"
"544","201601","02","22","1"
"545","201601","02","2","1"
"546","201601","02","1","1"
"547","201601","01","5","1"
"548","201601","01","9","1"
"549","201601","01","11","1"
"550","201601","01","6","1"
"551","201601","01","29","1"
"552","201601","01","2","1"
"553","201601","01","20","1"
"554","201601","01","14","1"
"555","201601","01","5","1"
"556","201601","01","2","1"
"557","201601","01","3","1"
"558","201601","01","11","1"
"559","201601","01","4","1"
"560","201601","01","29","1"
"561","201601","01","3","1"
"562","201601","03","1","1"
"563","201601","03","34","2"
"564","201601","02","4","1"
"565","201601","02","23","1"
"566","201601","02","4","1"
"567","201601","02","9","1"
"568","201601","02","20","1"
"569","201601","02","5","1"
"570","201601","01","16","1"
"571","201601","01","3","1"
"572","201601","01","19","1"
"573","201601","01","5","1"
"574","201601","01","1","1"
"575","201601","01","10","1"
"576","201601","01","1","1"
"577","201601","01","4","1"
"578","201601","01","4","1"
"579","201601","01","1","1"
"580","201601","01","4","1"
"581","201601","01","1","1"
"582","201601","01","6","1"
"583","201601","01","10","1"
"584","201601","01","4","1"
"585","201601","01","1","1"
"586","201601","01","3","1"
"587","201601","01","6","1"
"588","201601","01","1","1"
"589","201601","01","2","1"
"590","201601","01","18","1"
"591","201601","01","16","1"
"592","201601","01","1","1"
"593","201601","01","1","1"
"594","201601","01","5","1"
"595","201601","01","8","1"
"596","201601","01","18","1"
"597","201601","01","21","1"
"598","201601","02","19","1"
"599","201601","01","70","1"
"600","201601","01","63","1"
"601","201601","01","18","1"
"602","201601","01","10","1"
"603","201601","01","18","1"
"604","201601","01","2","1"
"605","201601","01","21","1"
"606","201601","01","12","1"
"607","201601","01","5","1"
"608","201601","01","3","1"
"609","201601","01","13","1"
"610","201601","01","6","1"
"611","201601","01","28","1"
"612","201601","01","3","1"
"613","201601","01","28","1"
"614","201601","01","7","1"
"615","201601","01","1","1"
"616","201601","01","22","1"
"617","201601","02","2","1"
"618","201601","02","20","1"
"619","201601","02","19","1"
"620","201601","01","1","1"
"621","201601","01","16","1"
"622","201601","01","17","1"
"623","201601","01","1","1"
"624","201601","01","30","1"
"625","201601","01","19","1"
"626","201601","01","2","1"
"627","201601","01","19","1"
"628","201601","01","31","1"
"629","201601","01","31","1"
"630","201601","01","31","1"
"631","201601","01","18","1"
"632","201601","01","31","1"
"633","201601","01","8","1"
"634","201601","01","31","1"
"635","201601","01","1","1"
"636","201601","01","26","1"
"637","201601","01","31","1"
"638","201601","01","1","1"
"639","201601","01","2","1"
"640","201601","01","1","1"
"641","201601","01","30","1"
"642","201601","01","11","1"
"643","201601","01","13","1"
"644","201601","01","19","1"
"645","201601","01","30","1"
"646","201601","01","31","1"
"647","201601","01","31","1"
"648","201601","01","30","1"
"649","201601","01","5","1"
"650","201601","01","1","1"
"651","201601","01","16","1"
"652","201601","01","9","1"
"653","201601","01","31","1"
"654","201601","01","23","1"
"655","201601","01","1","1"
"656","201601","01","1","1"
"657","201601","01","2","1"
"658","201601","01","1","1"
"659","201601","01","1","1"
"660","201601","01","1","1"
"661","201601","01","1","1"
"662","201601","01","2","1"
"663","201601","01","2","1"
"664","201601","01","2","1"
"665","201601","01","2","1"
"666","201601","01","2","1"
"667","201601","01","6","1"
"668","201601","01","3","1"
"669","201601","01","4","1"
"670","201601","03","4","1"
"671","201601","02","8","1"
"672","201601","01","27","1"
"673","201601","01","19","1"
"674","201601","01","10","1"
"675","201601","01","27","1"
"676","201601","01","1","1"
"677","201601","02","6","1"
"678","201601","01","2","1"
"679","201601","01","1","1"
"680","201601","01","7","1"
"681","201601","01","7","1"
"682","201601","01","6","1"
"683","201601","01","1","1"
"684","201601","01","14","1"
"685","201601","03","19","1"
"686","201601","02","10","1"
"687","201601","02","25","1"
"688","201601","01","23","1"
"689","201601","01","7","1"
"690","201601","01","31","1"
"691","201601","01","1","1"
"692","201601","01","5","1"
"693","201601","01","6","1"
"694","201601","02","2","1"
"695","201601","01","1","1"
"696","201601","01","1","1"
"697","201601","01","3","1"
"698","201601","01","1","1"
"699","201601","01","4","1"
"700","201601","01","1","1"
"701","201601","01","4","1"
"702","201601","01","2","1"
"703","201601","01","1","1"
"704","201601","01","1","1"
"705","201601","01","1","1"
"706","201601","01","1","1"
"707","201601","01","1","1"
"708","201601","01","1","1"
"709","201601","01","1","1"
"710","201601","02","2","1"
"711","201601","02","2","1"
"712","201601","02","2","1"
"713","201601","01","2","1"
"714","201601","01","2","1"
"715","201601","01","2","1"
"716","201601","01","2","1"
"717","201601","01","2","1"
"718","201601","01","2","1"
"719","201601","01","1","1"
"720","201601","01","8","1"
"721","201601","01","2","1"
"722","201601","01","1","1"
"723","201601","01","1","1"
"724","201601","01","1","1"
"725","201601","01","26","1"
"726","201601","02","1","1"
"727","201601","02","31","1"
"728","201601","01","1","1"
"729","201601","01","19","1"
"730","201601","01","20","1"
"731","201601","01","12","1"
"732","201601","01","15","1"
"733","201601","01","14","1"
"734","201601","01","31","1"
"735","201601","01","12","1"
"736","201601","01","11","1"
"737","201601","01","9","1"
"738","201601","03","1","1"
"739","201601","02","17","1"
"740","201601","02","18","1"
"741","201601","02","21","1"
"742","201601","02","33","1"
"743","201601","02","16","1"
"744","201601","02","29","1"
"745","201601","01","1","1"
"746","201601","01","35","1"
"747","201601","01","16","1"
"748","201601","01","20","1"
"749","201601","01","18","1"
"750","201601","01","28","1"
"751","201601","01","19","1"
"752","201601","01","16","1"
"753","201601","01","3","1"
"754","201601","01","18","1"
"755","201601","01","1","1"
"756","201601","02","24","1"
"757","201601","02","26","1"
"758","201601","02","31","1"
"759","201601","02","17","1"
"760","201601","02","12","1"
"761","201601","02","5","1"
"762","201601","01","12","1"
"763","201601","01","9","1"
"764","201601","01","18","1"
"765","201601","01","17","1"
"766","201601","01","9","1"
"767","201601","01","3","1"
"768","201601","01","26","1"
"769","201601","01","22","1"
"770","201601","01","20","1"
"771","201601","01","21","1"
"772","201601","01","17","1"
"773","201601","01","8","1"
"774","201601","01","4","1"
"775","201601","01","13","1"
"776","201601","01","31","1"
"777","201601","01","18","1"
"778","201601","01","3","1"
"779","201601","02","12","1"
"780","201601","02","8","1"
"781","201601","02","2","1"
"782","201601","02","17","1"
"783","201601","02","19","1"
"784","201601","01","17","1"
"785","201601","01","1","1"
"786","201601","01","18","1"
"787","201601","01","20","1"
"788","201601","01","9","1"
"789","201601","01","17","1"
"790","201601","01","12","1"
"791","201601","01","7","1"
"792","201601","01","20","1"
"793","201601","01","10","1"
"794","201601","01","1","1"
"795","201601","01","5","1"
"796","201601","02","8","1"
"797","201601","01","1","1"
"798","201601","01","23","1"
"799","201601","01","20","1"
"800","201601","01","1","1"
"801","201601","01","5","1"
"802","201601","01","24","1"
"803","201601","01","24","1"
"804","201601","01","18","1"
"805","201601","01","9","1"
"806","201601","01","17","1"
"807","201601","01","20","1"
"808","201601","01","7","1"
"809","201601","01","3","1"
"810","201601","01","4","1"
"811","201601","01","8","1"
"812","201601","01","1","1"
"813","201601","03","2","2"
"814","201601","03","2","2"
"815","201601","01","1","1"
"816","201601","01","1","1"
"817","201601","01","1","1"
"818","201601","01","1","1"
"819","201601","01","1","1"
"820","201601","01","1","1"
"821","201601","01","1","1"
"822","201601","01","1","1"
"823","201601","01","1","1"
"824","201601","01","20","1"
"825","201601","02","4","1"
"826","201601","01","20","1"
"827","201601","01","15","1"
"828","201601","01","1","1"
"829","201601","01","15","1"
"830","201601","01","19","1"
"831","201601","01","6","1"
"832","201601","01","14","1"
"833","201601","01","13","1"
"834","201601","03","13","1"
"835","201601","03","2","1"
"836","201601","01","9","1"
"837","201601","01","1","1"
"838","201601","01","6","1"
"839","201601","01","1","1"
"840","201601","02","11","1"
"841","201601","02","1","1"
"842","201601","02","1","1"
"843","201601","01","8","1"
"844","201601","02","26","1"
"845","201601","02","1","1"
"846","201601","01","5","1"
"847","201601","01","1","1"
"848","201601","01","1","1"
"849","201601","01","7","1"
"850","201601","01","1","1"
"851","201601","01","1","1"
"852","201601","01","3","1"
"853","201601","01","1","1"
"854","201601","01","2","1"
"855","201601","01","2","1"
"856","201601","01","4","1"
"857","201601","01","1","1"
"858","201601","01","2","1"
"859","201601","02","2","1"
"860","201601","01","10","1"
"861","201601","01","20","1"
"862","201601","01","10","1"
"863","201601","01","6","1"
"864","201601","01","5","1"
"865","201601","01","2","1"
"866","201601","01","13","1"
"867","201601","01","3","1"
"868","201601","01","2","1"
"869","201601","01","1","1"
"870","201601","01","1","1"
"871","201601","01","2","1"
"872","201601","01","2","1"
"873","201601","01","19","1"
"874","201601","01","2","1"
"875","201601","03","20","1"
"876","201601","02","16","1"
"877","201601","02","15","1"
"878","201601","02","10","1"
"879","201601","02","23","1"
"880","201601","01","4","1"
"881","201601","01","8","1"
"882","201601","01","9","1"
"883","201601","01","15","1"
"884","201601","01","2","1"
"885","201601","01","9","1"
"886","201601","01","4","1"
"887","201601","01","1","1"
"888","201601","01","12","1"
"889","201601","01","22","1"
"890","201601","01","3","1"
"891","201601","01","4","1"
"892","201601","02","1","1"
"893","201601","02","1","1"
"894","201601","02","19","1"
"895","201601","01","5","1"
"896","201601","01","19","1"
"897","201601","01","18","1"
"898","201601","01","1","1"
"899","201601","01","2","1"
"900","201601","01","7","1"
"901","201601","01","3","1"
"902","201601","01","6","1"
"903","201601","01","12","1"
"904","201601","01","9","1"
"905","201601","01","6","1"
"906","201601","01","3","1"
"907","201601","01","3","1"
"908","201601","01","10","1"
"909","201601","01","4","1"
"910","201601","03","8","1"
"911","201601","02","67","1"
"912","201601","01","20","1"
"913","201601","01","24","1"
"914","201601","01","4","1"
"915","201601","01","18","1"
"916","201601","01","34","1"
"917","201601","01","12","1"
"918","201601","01","2","1"
